ID,CALLE,ALT PLANO,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,L_SENTIDO,CATEGORIA
"2322",SALVADOR MARIA DEL CARRIL AV.,"2489",-58.4934891,-34.5876983,"12",VILLA PUEYRREDON,"176",I,,,,,,,,,,,"176-Bel�n de Escobar (Escobar), El Tri�ngulo (Escobar), El Tri�ngulo (Malvinas Argentinas), Gar�n (Escobar), Gar�n (Malvinas Argentinas), Grand Bourg (Jos� C. Paz), Grand Bourg (Malvinas Argentinas), Jos� C. Paz (Jos� C. Paz), Jos� C. P",OFICIAL
"2324",DR. JUAN FELIPE ARANGUREN,"1389",-58.4518287,-34.6182251,"6",CABALLITO,"92",I,"172",I,,,,,,,,,"92-Aldo Bonzi (La Matanza), Mataderos (CABA), Nueve de Abril (Esteban Echeverría), Villa Lugano (CABA)|172-Isidro Casanova (La Matanza)",OFICIAL
"2328",DE LOS INCAS AV.,"5318",-58.4826614,-34.5876614,"15",PARQUE CHAS,"80",V,"87",V,"123",V,,,,,,,"80-Belgrano (CABA), Liniers (CABA)|87-Chacarita (CABA)|123-Caseros (Morón), Caseros (Tres de Febrero), Ciudad Jardín Lomas de El Palomar (Morón), Ciudad Jardín Lomas de El Palomar (Tres de Febrero), El Palomar (Morón), El Palomar (Tres de",OFICIAL
"2329",DR. JUAN FELIPE ARANGUREN,"775",-58.4451421,-34.6154867,"6",CABALLITO,"92",I,"172",I,,,,,,,,,"92-Aldo Bonzi (La Matanza), Mataderos (CABA), Nueve de Abril (Esteban Echeverría), Villa Lugano (CABA)|172-Isidro Casanova (La Matanza)",OFICIAL
"2331",DR. JUAN FELIPE ARANGUREN,"783",-58.4433831,-34.6148386,"6",CABALLITO,"84",I,"181",I,,,,,,,,,84-Villa Del Parque (CABA)|181-Haedo (Morón),OFICIAL
"2334",DR. JUAN FELIPE ARANGUREN,"597",-58.4398838,-34.6134445,"6",CABALLITO,"172",I,"181",I,,,,,,,,,172-Isidro Casanova (La Matanza)|181-Haedo (Morón),OFICIAL
"2335",DE LOS INCAS AV.,"4895",-58.4788606,-34.5846185,"15",PARQUE CHAS,"80",I,"87",I,"123",I,,,,,,,"80-Ciudad Celina (La Matanza), Liniers (CABA)|87-Boulogne (San Isidro), Garín (Escobar), Garín (Tigre), General San Martín (General San Martín), Ricardo Rojas (Escobar), Ricardo Rojas (Tigre)|123-Caseros (Morón), Caseros (Tres de Febrero),",OFICIAL
"2336",DR. JUAN FELIPE ARANGUREN,"585",-58.4397383,-34.613375,"6",CABALLITO,"84",I,,,,,,,,,,,84-Villa Del Parque (CABA),OFICIAL
"2337",DE LOS INCAS AV.,"4912",-58.479031,-34.5849191,"15",PARQUE CHAS,"123",V,,,,,,,,,,,123-Chacarita (CABA),OFICIAL
"2338",DE LOS INCAS AV.,"4910",-58.4790165,-34.5849081,"15",PARQUE CHAS,"80",V,"87",V,"123",V,,,,,,,"80-Belgrano (CABA), Liniers (CABA)|87-Chacarita (CABA)",OFICIAL
"2340",DR. HONORIO PUEYRREDON AV.,"695",-58.4420181,-34.6119626,"6",CABALLITO,"92",V,,,,,,,,,,,92-Retiro (CABA),OFICIAL
"2345",DE LOS INCAS AV.,"4512",-58.4745701,-34.5815515,"15",PARQUE CHAS,"80",V,"87",V,,,,,,,,,"80-Belgrano (CABA), Liniers (CABA)|87-Chacarita (CABA)",OFICIAL
"2347",FRANKLIN,"736",-58.4428667,-34.6084578,"6",CABALLITO,"99",I,"124",V,,,,,,,,,"99-Puerto Madero (CABA), Retiro (CABA), San Nicolas (CABA)|124-Recoleta (CABA)",OFICIAL
"2348",TRIUNVIRATO AV.,"3758",-58.4745078,-34.5811071,"15",PARQUE CHAS,"108",V,"176",V,,,,,,,,,"108-Retiro (CABA)|176-Chacarita (CABA), Saavedra (CABA), Villa Devoto (CABA), Villa Pueyrredon (CABA), Villa Urquiza (CABA)",OFICIAL
"2349",DR. HONORIO PUEYRREDON AV.,"1063",-58.4448456,-34.608232,"6",CABALLITO,"106",I,"92",V,,,,,,,,,106-Retiro (CABA),OFICIAL
"2350",DR. HONORIO PUEYRREDON AV.,"1065",-58.4449232,-34.608141,"6",CABALLITO,"92",V,,,,,,,,,,,92-Retiro (CABA),OFICIAL
"2351",TRIUNVIRATO AV.,"3764",-58.4746268,-34.5809689,"15",PARQUE CHAS,"71",V,"127",V,,,,,,,,,71-Balvanera (CABA)|127-San Cristobal (CABA),OFICIAL
"2353",FRANKLIN,"802",-58.4446233,-34.6091138,"6",CABALLITO,"99",I,"124",V,,,,,,,,,"99-Puerto Madero (CABA), Retiro (CABA), San Nicolas (CABA)|124-Recoleta (CABA)",OFICIAL
"2355",TRIUNVIRATO AV.,"3914",-58.4759059,-34.579938,"15",PARQUE CHAS,"133",V,,,,,,,,,,,"133-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2356",TRIUNVIRATO AV.,"3928",-58.4760802,-34.5798968,"15",PARQUE CHAS,"71",V,"127",V,,,,,,,,,71-Balvanera (CABA)|127-San Cristobal (CABA),OFICIAL
"2357",FRANKLIN,"902",-58.4467716,-34.6099109,"6",CABALLITO,"106",I,,,,,,,,,,,106-Retiro (CABA),OFICIAL
"2358",TRIUNVIRATO AV.,"3944",-58.476395,-34.5798224,"15",PARQUE CHAS,"108",V,,,,,,,,,,,108-Ciudadela (Tres de Febrero),OFICIAL
"2359",TRIUNVIRATO AV.,"3958",-58.4766048,-34.5797728,"15",PARQUE CHAS,"176",V,,,,,,,,,,,"176-Chacarita (CABA), Saavedra (CABA), Villa Devoto (CABA), Villa Pueyrredon (CABA), Villa Urquiza (CABA)",OFICIAL
"2360",FRANKLIN,"916",-58.4468609,-34.6099468,"6",CABALLITO,"99",I,"124",V,,,,,,,,,"99-Puerto Madero (CABA), Retiro (CABA), San Nicolas (CABA)|124-Recoleta (CABA)",OFICIAL
"2361",FRANKLIN,"1050",-58.4493388,-34.6109356,"6",CABALLITO,"106",I,"124",V,,,,,,,,,"99-Puerto Madero (CABA), Retiro (CABA), San Nicolas (CABA)|106-Retiro (CABA)|124-Recoleta (CABA)",OFICIAL
"2362",TRIUNVIRATO AV.,"4089",-58.4785344,-34.5791356,"15",VILLA ORTUZA,"71",I,"127",I,,,,,,,,,"71-Villa Adelina (San Isidro), Villa Adelina (Vicente López)|127-Don Torcuato (Tigre)",OFICIAL
"2363",TRIUNVIRATO AV.,"4071",-58.4783555,-34.579177,"15",VILLA ORTUZA,"108",I,"133",I,,,,,,,,,108-Ciudadela (Tres de Febrero)|133-Vicente López (Vicente López),OFICIAL
"2364",FRANKLIN,"1240",-58.4519105,-34.6119447,"6",CABALLITO,"106",I,,,,,,,,,,,106-Retiro (CABA),OFICIAL
"2365",FRAGATA PRES. SARMIENTO,"995",-58.453959,-34.6129622,"6",CABALLITO,"99",I,"124",V,,,,,,,,,"99-Puerto Madero (CABA), Retiro (CABA), San Nicolas (CABA)|124-Recoleta (CABA)",OFICIAL
"2366",FRAGATA PRES. SARMIENTO,"787",-58.4525323,-34.6149387,"6",CABALLITO,"99",I,"106",I,,,,,,,,,"99-Puerto Madero (CABA), Retiro (CABA), San Nicolas (CABA)|106-Retiro (CABA)|124-Recoleta (CABA)",OFICIAL
"2367",LA PAMPA,"5210",-58.4813267,-34.5805434,"15",PARQUE CHAS,"108",V,"176",V,,,,,,,,,108-Retiro (CABA),OFICIAL
"2368",GAONA AV.,"1693",-58.4521377,-34.6105,"6",CABALLITO,"76",V,"124",I,,,,,,,,,76-Nueva Pompeya (CABA)|124-Ciudadela (Tres de Febrero),OFICIAL
"2369",GAONA AV.,"1667",-58.4518812,-34.6103611,"6",CABALLITO,"99",V,"106",V,,,,,,,,,"99-Liniers (CABA), Versalles (CABA)|106-Liniers (CABA)",OFICIAL
"2371",DE LOS CONSTITUYENTES AV.,"3797",-58.4866364,-34.5869743,"15",PARQUE CHAS,"111",I,"123",I,,,,,,,,,"111-General San Martín (General San Martín), Paternal (CABA), Saavedra (CABA), Villa Pueyrredon (CABA), Villa Urquiza (CABA)|123-Caseros (Morón), Caseros (Tres de Febrero), Ciudad Jardín Lomas de El Palomar (Morón), Ciudad Jardín Lomas",OFICIAL
"2372",GAONA AV.,"1283",-58.4476539,-34.6081322,"6",CABALLITO,"99",V,"106",V,,,,,,,,,"99-Liniers (CABA), Versalles (CABA)|106-Liniers (CABA)",OFICIAL
